sub_N,session,run_N,bold,slice_timing,events,eyetracker
17,1,2,FALSE,FALSE,FALSE,FALSE
17,1,3,FALSE,FALSE,FALSE,FALSE
17,1,4,FALSE,FALSE,FALSE,FALSE
17,1,5,FALSE,FALSE,FALSE,FALSE
17,1,6,FALSE,FALSE,FALSE,FALSE
18,1,1,FALSE,FALSE,FALSE,FALSE
18,1,2,FALSE,FALSE,FALSE,FALSE
18,1,3,FALSE,FALSE,FALSE,FALSE
18,1,4,FALSE,FALSE,FALSE,FALSE
18,1,5,FALSE,FALSE,FALSE,FALSE
18,1,6,FALSE,FALSE,FALSE,FALSE
19,1,1,FALSE,FALSE,FALSE,FALSE
19,1,2,FALSE,FALSE,FALSE,FALSE
19,1,3,FALSE,FALSE,FALSE,FALSE
19,1,4,FALSE,FALSE,FALSE,FALSE
19,1,5,FALSE,FALSE,FALSE,FALSE
19,1,6,FALSE,FALSE,FALSE,FALSE
20,1,2,FALSE,FALSE,FALSE,FALSE
20,1,3,FALSE,FALSE,FALSE,FALSE
20,1,4,FALSE,FALSE,FALSE,FALSE
20,1,5,FALSE,FALSE,FALSE,FALSE
20,1,6,FALSE,FALSE,FALSE,FALSE
21,1,1,FALSE,FALSE,FALSE,FALSE
21,1,2,FALSE,FALSE,FALSE,FALSE
21,1,3,FALSE,FALSE,FALSE,FALSE
21,1,4,FALSE,FALSE,FALSE,FALSE
21,1,5,FALSE,FALSE,FALSE,FALSE
21,1,6,FALSE,FALSE,FALSE,FALSE
22,1,1,FALSE,FALSE,FALSE,FALSE
22,1,2,FALSE,FALSE,FALSE,FALSE
22,1,3,FALSE,FALSE,FALSE,FALSE
22,1,4,FALSE,FALSE,FALSE,FALSE
22,1,5,FALSE,FALSE,FALSE,FALSE
22,1,6,FALSE,FALSE,FALSE,FALSE
23,1,1,FALSE,FALSE,FALSE,FALSE
23,1,2,FALSE,FALSE,FALSE,FALSE
23,1,3,FALSE,FALSE,FALSE,FALSE
23,1,4,FALSE,FALSE,FALSE,FALSE
23,1,5,FALSE,FALSE,FALSE,FALSE
23,1,6,FALSE,FALSE,FALSE,FALSE
24,1,1,FALSE,FALSE,FALSE,FALSE
24,1,2,FALSE,FALSE,FALSE,FALSE
24,1,3,FALSE,FALSE,FALSE,FALSE
24,1,4,FALSE,FALSE,FALSE,FALSE
24,1,5,FALSE,FALSE,FALSE,FALSE
24,1,6,FALSE,FALSE,FALSE,FALSE
25,1,1,FALSE,FALSE,FALSE,FALSE
25,1,2,FALSE,FALSE,FALSE,FALSE
25,1,3,FALSE,FALSE,FALSE,FALSE
25,1,4,FALSE,FALSE,FALSE,FALSE
25,1,5,FALSE,FALSE,FALSE,FALSE
25,1,6,FALSE,FALSE,FALSE,FALSE
26,1,1,FALSE,FALSE,FALSE,FALSE
26,1,2,FALSE,FALSE,FALSE,FALSE
26,1,3,FALSE,FALSE,FALSE,FALSE
26,1,4,FALSE,FALSE,FALSE,FALSE
26,1,5,FALSE,FALSE,FALSE,FALSE
26,1,6,FALSE,FALSE,FALSE,FALSE
27,1,1,FALSE,FALSE,FALSE,FALSE
27,1,2,FALSE,FALSE,FALSE,FALSE
27,1,3,FALSE,FALSE,FALSE,FALSE
27,1,4,FALSE,FALSE,FALSE,FALSE
27,1,5,FALSE,FALSE,FALSE,FALSE
27,1,6,FALSE,FALSE,FALSE,FALSE
28,1,1,FALSE,FALSE,FALSE,FALSE
28,1,2,FALSE,FALSE,FALSE,FALSE
28,1,3,FALSE,FALSE,FALSE,FALSE
28,1,4,FALSE,FALSE,FALSE,FALSE
28,1,5,FALSE,FALSE,FALSE,FALSE
28,1,6,FALSE,FALSE,FALSE,FALSE
29,1,1,FALSE,FALSE,FALSE,FALSE
29,1,2,FALSE,FALSE,FALSE,FALSE
29,1,3,FALSE,FALSE,FALSE,FALSE
29,1,4,FALSE,FALSE,FALSE,FALSE
29,1,5,FALSE,FALSE,FALSE,FALSE
29,1,6,FALSE,FALSE,FALSE,FALSE
30,1,1,FALSE,FALSE,FALSE,FALSE
30,1,2,FALSE,FALSE,FALSE,FALSE
30,1,3,FALSE,FALSE,FALSE,FALSE
30,1,4,FALSE,FALSE,FALSE,FALSE
30,1,5,FALSE,FALSE,FALSE,FALSE
30,1,6,FALSE,FALSE,FALSE,FALSE
31,1,1,FALSE,FALSE,FALSE,FALSE
31,1,2,FALSE,FALSE,FALSE,FALSE
31,1,3,FALSE,FALSE,FALSE,FALSE
31,1,4,FALSE,FALSE,FALSE,FALSE
31,1,5,FALSE,FALSE,FALSE,FALSE
31,1,6,FALSE,FALSE,FALSE,FALSE
32,1,1,FALSE,FALSE,FALSE,FALSE
32,1,2,FALSE,FALSE,FALSE,FALSE
32,1,3,FALSE,FALSE,FALSE,FALSE
32,1,4,FALSE,FALSE,FALSE,FALSE
32,1,5,FALSE,FALSE,FALSE,FALSE
32,1,6,FALSE,FALSE,FALSE,FALSE
33,1,1,FALSE,FALSE,FALSE,FALSE
33,1,2,FALSE,FALSE,FALSE,FALSE
33,1,3,FALSE,FALSE,FALSE,FALSE
33,1,4,FALSE,FALSE,FALSE,FALSE
33,1,5,FALSE,FALSE,FALSE,FALSE
33,1,6,FALSE,FALSE,FALSE,FALSE
34,1,1,FALSE,FALSE,FALSE,FALSE
34,1,2,FALSE,FALSE,FALSE,FALSE
34,1,3,FALSE,FALSE,FALSE,FALSE
34,1,4,FALSE,FALSE,FALSE,FALSE
34,1,5,FALSE,FALSE,FALSE,FALSE
34,1,6,FALSE,FALSE,FALSE,FALSE
35,1,1,FALSE,FALSE,FALSE,FALSE
35,1,2,FALSE,FALSE,FALSE,FALSE
35,1,3,FALSE,FALSE,FALSE,FALSE
35,1,4,FALSE,FALSE,FALSE,FALSE
35,1,5,FALSE,FALSE,FALSE,FALSE
35,1,6,FALSE,FALSE,FALSE,FALSE
36,1,1,FALSE,FALSE,FALSE,FALSE
36,1,2,FALSE,FALSE,FALSE,FALSE
36,1,3,FALSE,FALSE,FALSE,FALSE
36,1,4,FALSE,FALSE,FALSE,FALSE
36,1,5,FALSE,FALSE,FALSE,FALSE
36,1,6,FALSE,FALSE,FALSE,FALSE
37,1,1,FALSE,FALSE,FALSE,FALSE
37,1,2,FALSE,FALSE,FALSE,FALSE
37,1,3,FALSE,FALSE,FALSE,FALSE
37,1,4,FALSE,FALSE,FALSE,FALSE
37,1,5,FALSE,FALSE,FALSE,FALSE
37,1,6,FALSE,FALSE,FALSE,FALSE
38,1,1,FALSE,FALSE,FALSE,FALSE
38,1,2,FALSE,FALSE,FALSE,FALSE
38,1,3,FALSE,FALSE,FALSE,FALSE
38,1,4,FALSE,FALSE,FALSE,FALSE
38,1,5,FALSE,FALSE,FALSE,FALSE
38,1,6,FALSE,FALSE,FALSE,FALSE
39,1,1,FALSE,FALSE,FALSE,FALSE
39,1,2,FALSE,FALSE,FALSE,FALSE
39,1,3,FALSE,FALSE,FALSE,FALSE
39,1,4,FALSE,FALSE,FALSE,FALSE
39,1,5,FALSE,FALSE,FALSE,FALSE
39,1,6,FALSE,FALSE,FALSE,FALSE
40,1,1,FALSE,FALSE,FALSE,FALSE
40,1,2,FALSE,FALSE,FALSE,FALSE
40,1,3,FALSE,FALSE,FALSE,FALSE
40,1,4,FALSE,FALSE,FALSE,FALSE
40,1,5,FALSE,FALSE,FALSE,FALSE
40,1,6,FALSE,FALSE,FALSE,FALSE
