Abbrev.,Full Name,Gyri,Lobe,Left Volume (mm^3),Right Volume (mm^3)
FSSA,Area fissurea splenialis,Medial Occipital Gyrus,Occiptal,1762,1588
FSp,Area fissurea suprasylviae anterior,Suprasylvian Gyrus,Occiptal,2123,2075
MP,Area marginalis posterior,Marginal Gyrus,Occiptal,7131,7710
OII,Area splenialis II,Marginal Gyrus,Occiptal,3669,3769
OI,Area splenialis I,Marginal Gyrus,Occiptal,926,859
ORL,Area recurrens lateralis,Recurrens,Occiptal,464,548
ORM,Area recurrens medialis,Recurrens,Occiptal,735,756
OVL,Area recurrens ventralis lateralis,Recurrens,Occiptal,324,294
OVM,Area recurrens ventralis medialis,Recurrens,Occiptal,419,382
QP,Area ectolateralis posterior,Ectolateral Gyrus,Occiptal,7130,7541
R,Area retrospenialis,Medial Occipital Gyrus,Occiptal,4523,4308
SSM,Area suprasylvian medialis,Suprasylvian Gyrus,Occiptal,7012,7392
SSP,Area suprasylvian posterior,Suprasylvian Gyrus,Occiptal,3871,3483
SSV,Area suprasylvian ventralis,Suprasylvian Gyrus,Occiptal,1246,1356
ZA,Area pararecurrens anterior,Pararecurrens Gyrus,Occiptal,1423,1549
ZL,Area pararecurrens lateralis,Pararecurrens Gyrus,Occiptal,430,484
ZM,Area pararecurrens medialis,Pararecurrens Gyrus,Occiptal,320,266
BAL,Area entolateralis anterior,Entolateral Gyrus,Parietal,236,223
BA,Area entolateralis anterior lateralis,Entolateral Gyrus,Parietal,717,684
FA,Area fissurae ansata,Marginal Gyrus,Parietal,284,313
FBA,Area fissurae entolateralis pars anterior,Entolateral Gyrus,Parietal,52,42
FLP,Area fissurae lateralis parietal,Lateral Fissure ,Parietal,304,244
FN,Area fissurae suprasplenialis,Marginal Gyrus,Parietal,154,153
FSPL,Area fissurae presylviae lateralis,Marginal Gyrus,Parietal,471,463
KPL,Area coronalis posterior,Coronal Gyrus,Parietal,351,359
KPM,Area coronalis posterior lateralis,Coronal Gyrus,Parietal,622,690
KP,Area coronalis posterior medialis,Coronal Gyrus,Parietal,1515,1503
MA,Area marginalis anterior,Marginal Gyrus,Parietal,1283,1339
ML,Area marginalis lateralis,Marginal Gyrus,Parietal,198,161
ND,Area presplenialis dorsalis,Presplenial Gyrus,Parietal,1226,1252
NV,Area presplenialis ventralis,Presplenial Gyrus,Parietal,431,405
QA,Area ectolateralis anterior,Ectolateral Gyrus,Parietal,813,718
SSm,Area suprasylvian accessoria,Suprasylvian Gyrus,Parietal,106,123
CPLI,Area composita posterior lateralis I,Posterior Compositus Gyrus,Temporal,4397,3986
CPM,Area composita medialis I,Posterior Compositus Gyrus,Temporal,727,844
Cl,Centralis I,Pre/postcentral Gyrus ,Temporal,2177,1902
EAc,Area ectosylvia accessoria,Ectosylvian Gyrus,Temporal,2301,2466
EDII,Area paraectosylvia dorsalis II,Ectosylvian Gyrus,Temporal,3973,3565
EM,Area ectosylvia medialis,Ectosylvian Gyrus,Temporal,5434,5741
EPI,Area ectosylvia posterior I,Ectosylvian Gyrus,Temporal,2990,3148
EV,Area paraectosylvia ventralis,Ectosylvian Gyrus,Temporal,1879,1892
FE,Area fissurae ectosylvia,Ectosylvian Gyrus,Temporal,2220,2366
FS,Area fissurae sylvia,Sylvian Gyrus,Temporal,2760,2604
SD,Area parasylvian dorsalis,Sylvian Gyrus,Temporal,1624,1452
SJ,Area sylvia insularis,Sylvian Gyrus,Temporal,6092,6572
S,Area sylvia,Sylvian Gyrus,Temporal,1100,912
CA,Area composita anterior,Anterior Compositus Gyrus,Sensory-motor,2251,2663
CE,Area composita ectosylvia,Anterior Compositus Gyrus,Sensory-motor,2783,2746
CJ,Area composita interna ,Anterior Compositus Gyrus,Sensory-motor,364,375
CSL,Area composita sigmoidea lateralis,Anterior Compositus Gyrus,Sensory-motor,1724,1660
CS,Area composita sigmoid,Anterior Compositus Gyrus,Sensory-motor,990,1117
CX,Area composita precruciata,Precruciate Gyrus,Sensory-motor,365,356
C,Area centralis,Central Gyrus,Sensory-motor,569,588
FK,Area fissurae coronalis,Coronal Gyrus,Sensory-motor,1419,1469
FPG,Area fissurae pregenualis,Coronal Gyrus,Sensory-motor,372,372
FPS,Area fissurae presylviae,Anterior Compositus Gyrus,Sensory-motor,1345,1375
FSSM,Area fissurae splenialis,Precruciate Gyrus,Sensory-motor,1038,929
KA,Area coronalis anterior,Coronal Gyrus,Sensory-motor,5189,4987
KM,Area coronalis medialis,Coronal Gyrus,Sensory-motor,717,600
PoC,Area postcentralis I,Postcentral Gyrus,Sensory-motor,1803,1976
PrCI:II,Area precentralis I/II,Precentral Gyrus,Sensory-motor,1532,1462
PrCIII,Area precentralis III,Precentral Gyrus,Sensory-motor,1124,1230
PrCJ,Area precentralis interna,Precentral Gyrus,Sensory-motor,1244,1246
PrCL,Area precentral lateralis,Precentral Gyrus,Sensory-motor,306,268
XC,Area precruciata centralis,Precruciate Gyrus,Sensory-motor,730,799
XL,Area precruciata lateralis,Precruciate Gyrus,Sensory-motor,766,732
XMII,Area precruciata medialis II,Precruciate Gyrus,Sensory-motor,1111,1046
XMI,Area precruciata medialis I,Precruciate Gyrus,Sensory-motor,642,611
XP,Area precruciata posterior,Precruciate Gyrus,Sensory-motor,649,620
Amyg,Amygdala,Subcortical Regions,Subcortical,1228,1148
CaudN,Caudate Nucleas,Subcortical Regions,Subcortical,5195,5100
CdColl,Caudal Colliculus,Subcortical Regions,Subcortical,929,964
Cere,Cerebellum,Subcortical Regions,Subcortical,39456,39058
Hippo,Hippocampus,Subcortical Regions,Subcortical,5625,5937
LatGen,Lateral Geniculate,Subcortical Regions,Subcortical,483,554
MedGen,Medial Geniculate,Subcortical Regions,Subcortical,333,330
Olf,Olfactory Bulb,Olfactory Bulbs,Subcortical,8810,8337
RostColl,Rostral Colliculus,Subcortical Regions,Subcortical,411,426
