Number,Region,Latin,Abbreviation,File,File2
45,presplenial gyrus R,gyrus presplenialis R ,presplenial gyrus R,R_gPresplenialis.nii.gz,R_gPresplenialis
46,splenial gyrus L SpG,gyrus splenialis L ,L SpG,L_gSplenialis.nii.gz,L_gSplenialis
47,splenial gyrus R SpG,gyrus splenialis R ,R SpG,R_gSplenialis.nii.gz,R_gSplenialis
48,parahippocampal gyrus L,gyrus parahippocampalis L ,parahippocampal gyrus L,L_gParahippocampalis.nii.gz,L_gParahippocampalis
49,parahippocampal gyrus R,gyrus parahippocampalis R ,parahippocampal gyrus R,R_gParahippocampalis.nii.gz,R_gParahippocampalis
50,hippocampus  L,hippocampus L ,hippocampus  L,L_hippocampus.nii.gz,L_hippocampus
51,hippocampus  R,hippocampus R ,hippocampus  R,R_hippocampus.nii.gz,R_hippocampus
52,piriform lobe L,lobus piriformis L ,piriform lobe L,L_lPiriformis.nii.gz,L_lPiriformis
53,piriform lobe R,lobus piriformis R ,piriform lobe R,R_lPiriformis.nii.gz,R_lPiriformis
54,olfactory tubercle L,tuberculum olfactorium L ,olfactory tubercle L,L_tOlfactorium.nii.gz,L_tOlfactorium
55,olfactory tubercle R,tuberculum olfactorium R ,olfactory tubercle R,R_tOlfactorium.nii.gz,R_tOlfactorium
56,diagonal gyrus L,gyrus diagonalis L ,diagonal gyrus L,L_gDiagonalis.nii.gz,L_gDiagonalis
57,diagonal gyrus R,gyrus diagonalis R ,diagonal gyrus R,R_gDiagonalis.nii.gz,R_gDiagonalis
58,paraterminal gyrus L,gyrus paraterminalis L ,paraterminal gyrus L,L_gParaterminalis.nii.gz,L_gParaterminalis
59,paraterminal gyrus R,gyrus paraterminalis R ,paraterminal gyrus R,R_gParaterminalis.nii.gz,R_gParaterminalis
60,lateral olfactory gyrus L,gyrus olfactorius lateralis L ,lateral olfactory gyrus L,L_gOlfactoriusLateralis.nii.gz,L_gOlfactoriusLateralis
61,lateral olfactory gyrus R,gyrus olfactorius lateralis R ,lateral olfactory gyrus R,R_gOlfactoriusLateralis.nii.gz,R_gOlfactoriusLateralis
62,thalamus  L,thalamus L ,thalamus  L,L_Thalamus.nii.gz,L_Thalamus
63,thalamus  R,thalamus R ,thalamus  R,R_Thalamus.nii.gz,R_Thalamus
64,olfactory bulb L,bulbus olfactorius L ,olfactory bulb L,L_bOlfactorius.nii.gz,L_bOlfactorius
65,olfactory bulb R,bulbus olfactorius R ,olfactory bulb R,R_bOlfactorius.nii.gz,R_bOlfactorius
66,caudate nucleus L,nucleus caudatus L NC,caudate nucleus L,L_nCaudatus.nii.gz,L_nCaudatus
67,caudate nucleus R,nucleus caudatus R NC,caudate nucleus R,R_nCaudatus.nii.gz,R_nCaudatus
68,insular cortex L,insular cortex L ,insular cortex L,L_InsularCortex.nii.gz,L_InsularCortex
69,insular cortex R,insular cortex R ,insular cortex R,R_InsularCortex.nii.gz,R_InsularCortex
70,hypophysis ,hypophysis ,hypophysis ,b_Hypophysis.nii.gz,b_Hypophysis
71,cerebellar vermis ,vermis cerebelli ,cerebellar vermis ,b_VermisCerebelli.nii.gz,b_VermisCerebelli
72,pons ,pons ,pons ,b_Pons.nii.gz,b_Pons
73,medulla oblongata ,medulla oblongata ,medulla oblongata ,b_MedullaOblongata.nii.gz,b_MedullaOblongata
74,medulla spinal ,medulla spinalis ,medulla spinal ,b_MedullaSpinalis.nii.gz,b_MedullaSpinalis
75,mesencephalon ,mesencephalon ,mesencephalon ,b_Mesencephalon.nii.gz,b_Mesencephalon
76,diencephalon ,diencephalon ,diencephalon ,b_Diencephalon.nii.gz,b_Diencephalon
77,optic nerve ,nervus opticus ,optic nerve ,b_NervusOpticus.nii.gz,b_NervusOpticus
78,cerebellar hemisphere L,hemispherium cerebelli L ,cerebellar hemisphere L,L_HemispheriumCerebelli.nii.gz,L_HemispheriumCerebelli
79,cerebellar hemisphere R,hemispherium cerebelli R ,cerebellar hemisphere R,R_HemispheriumCerebelli.nii.gz,R_HemispheriumCerebelli
80,rostral commissura ,commissura rostralis ,rostral commissura ,b_CommissuraRostralis.nii.gz,b_CommissuraRostralis
81,olfactory peduncle L,pedunculus olfactorius L ,olfactory peduncle L,L_PedunculusOlfactorius.nii.gz,L_PedunculusOlfactorius
82,olfactory peduncle R,pedunculus olfactorius R ,olfactory peduncle R,R_PedunculusOlfactorius.nii.gz,R_PedunculusOlfactorius
83,septal area L,area septalis L ,septal area L,L_aSeptalis.nii.gz,L_aSeptalis
84,septal area R,area septalis R ,septal area R,R_aSeptalis.nii.gz,R_aSeptalis
85,spinal tract of the trigemini nervi nucleus L,nucleus et tractus spinalis nervi trigemini L ,spinal tract of the trigemini nervi nucleus L,L_nEtTractusSpinalisNerviTrigemini.nii.gz,L_nEtTractusSpinalisNerviTrigemini
86,spinal tract of the trigemini nervi nucleus R,nucleus et tractus spinalis nervi trigemini R ,spinal tract of the trigemini nervi nucleus R,R_nEtTractusSpinalisNerviTrigemini.nii.gz,R_nEtTractusSpinalisNerviTrigemini
87,ventral caudal thalami pars medial nucleus L,nucleus ventralis caudalis thalami pars medialis L ,ventral caudal thalami pars medial nucleus L,L_nVentralisCaudalisThalamiParsMedialis.nii.gz,L_nVentralisCaudalisThalamiParsMedialis
88,ventral caudal thalami pars medial nucleus R,nucleus ventralis caudalis thalami pars medialis R ,ventral caudal thalami pars medial nucleus R,R_nVentralisCaudalisThalamiParsMedialis.nii.gz,R_nVentralisCaudalisThalamiParsMedialis
89,amygdala  L,amygdala L ,amygdala  L,L_Amygdala.nii.gz,L_Amygdala
90,amygdala  R,amygdala R ,amygdala  R,R_Amygdala.nii.gz,R_Amygdala
91,encephalon ,encephalon ,encephalon ,b_Encephalon.nii.gz,b_Encephalon
,,,,L_OccipitoTemporal.nii.gz,L_OccipitoTemporal
,,,,L_OccipitoTemporalGM.nii.gz,L_OccipitoTemporalGM
,,,,L_gEctosylvius.nii.gz,L_gEctosylvius
,,,,L_gPerisylvius.nii.gz,L_gPerisylvius
,,,,L_gSuprasylvius.nii.gz,L_gSuprasylvius
,,,,L_gSylvius.nii.gz,L_gSylvius
,,,,L_hypothalamus.nii.gz,L_hypothalamus
,,,,b_Amygdala.nii.gz,b_Amygdala
,,,,b_Cortex.nii.gz,b_Cortex
,,,,b_OccipitoTemporal.nii.gz,b_OccipitoTemporal
,,,,b_OccipitoTemporalGM.nii.gz,b_OccipitoTemporalGM
,,,,b_Subcortical.nii.gz,b_Subcortical
,,,,b_bOlfactorius.nii.gz,b_bOlfactorius
,,,,b_fullbrain.nii.gz,b_fullbrain
,,,,b_gCinguli.nii.gz,b_gCinguli
,,,,b_gEctosylvius.nii.gz,b_gEctosylvius
,,,,b_gEctosylviusCaudalis.nii.gz,b_gEctosylviusCaudalis
,,,,b_gEctosylviusMedius.nii.gz,b_gEctosylviusMedius
,,,,b_gPerisylvius.nii.gz,b_gPerisylvius
,,,,b_gPerisylvius2.nii.gz,b_gPerisylvius2
,,,,b_gSuprasylvius.nii.gz,b_gSuprasylvius
,,,,b_gSuprasylviusCaudalis.nii.gz,b_gSuprasylviusCaudalis
,,,,b_gSuprasylviusMedius.nii.gz,b_gSuprasylviusMedius
,,,,b_gSylvius.nii.gz,b_gSylvius
,,,,b_gSylviusCaudalis.nii.gz,b_gSylviusCaudalis
,,,,b_gSylviusRostralis.nii.gz,b_gSylviusRostralis
,,,,b_nCaudatus.nii.gz,b_nCaudatus
